timestamp,difficulty,mode,server,service,winner,reason,hits,duration_s,last_hitter,last_shot,score_kai_before,score_mina_before,sets_kai,sets_mina
2026-05-03T18:38:45,Club,singles,player,serve_drive,opponent,Faute filet,3,2.79,player,drop,19,14,0,0
2026-05-03T18:38:56,Club,singles,opponent,serve_lob,player,Point,8,9.47,player,drop,19,15,0,0
2026-05-03T18:39:04,Club,singles,player,serve_short,player,Faute dehors,8,6.68,opponent,smash,20,15,0,0
2026-05-03T18:44:51,Club,singles,player,serve_short,player,Faute dehors,2,2.36,opponent,drop,0,0,0,0
2026-05-03T18:44:56,Club,singles,player,serve_short,player,Point,5,4.03,player,smash,1,0,0,0
2026-05-03T18:44:57,Club,singles,player,serve_short,opponent,Faute service,1,0.60,player,serve_short,2,0,0,0
2026-05-03T18:45:09,Club,singles,opponent,serve_short,player,Point,10,10.23,player,drop,2,1,0,0
2026-05-03T18:45:12,Club,singles,player,serve_short,player,Faute dehors,2,2.27,opponent,drop,3,1,0,0
2026-05-03T18:45:18,Club,singles,player,serve_lob,player,Faute dehors,4,5.28,opponent,smash,4,1,0,0
2026-05-03T18:45:23,Club,singles,player,serve_short,player,Point,3,3.34,player,smash,5,1,0,0
2026-05-03T18:45:26,Club,singles,player,serve_lob,opponent,Faute filet,3,2.73,player,smash,6,1,0,0
2026-05-03T18:45:42,Club,singles,opponent,serve_drive,player,Faute dehors,13,13.97,opponent,smash,6,2,0,0
2026-05-03T18:45:52,Club,singles,player,serve_lob,player,Point,9,8.92,player,drop,7,2,0,0
2026-05-03T18:46:06,Club,singles,player,serve_short,player,Faute dehors,12,13.72,opponent,lob,8,2,0,0
2026-05-03T18:46:12,Club,singles,player,serve_short,opponent,Faute dehors,5,4.86,player,drop,9,2,0,0
2026-05-03T18:46:17,Club,singles,opponent,serve_short,opponent,Point,3,3.33,opponent,smash,9,3,0,0
2026-05-03T18:46:23,Club,singles,opponent,serve_lob,opponent,Faute dehors,4,4.81,player,drop,9,4,0,0
2026-05-03T18:46:27,Club,singles,opponent,serve_lob,opponent,Faute dehors,2,2.89,player,smash,9,5,0,0
