rally,hit,hitter,kind,start_x,start_z,target_x,target_z,end_x,end_z,moved,remaining
518,23,opponent,lob,1.084851893517972,-2.27,4.547908389269079,0.27553671420295534,2.8476572045995674,-0.9742412837169414,2.187801,2.1101656653103666
518,24,player,smash,-1.3801152077707277,0.20191865712868173,-3.3322590088362176,-0.12178232571221895,-2.5978175517326645,1.4390769139116522e-06,1.2343296000000001,0.7444699720462908
518,25,opponent,lob,3.0788062227408837,-0.2548969088399266,4.450255450169461,-0.6850063728398498,4.450255450169461,-0.6850063728398498,1.437312469310951,0.0
518,26,player,drop,-1.5685133213428708,-2.100553871534571,-3.034488159891177,0.2452604125168779,-2.736624627020708,-0.2313729591701148,2.2041600000000003,0.5620516481781613
518,27,opponent,drop,1.48201019753274,0.037721343763556514,2.951944410725398,-0.018756733908211948,2.8069725611225635,-0.013186599334430407,1.32594,0.14507881849683238
518,28,player,drop,-1.5362986676866188,0.5691601066959271,-2.9568796156220296,-0.027934439926227753,-2.9568796156220296,-0.027934439926227753,1.5409646742359109,0.0
518,29,opponent,lob,1.614969194169685,-0.42518494269251406,4.131872361581652,-0.12076053273477001,3.7869405805637744,-0.16248071302283984,2.187801,0.347445689280259
518,30,player,drop,-6.243516572308436,-0.3535854248394007,-2.905010749449678,-0.6921234453143722,-4.050602365999129,-0.5759558126315337,2.20416,1.1514664870466353
518,31,opponent,smash,1.2574869267728213,-2.016635478168428,2.954178364536514,0.8151509121018026,1.6391198457869802,-1.3796882512950455,0.7425263999999998,2.5586515708310684
518,32,player,drop,-2.270165314734697,1.8390145036955419,-2.96870955502892,0.46414452664899913,-2.96870955502892,0.46414452664899913,1.5421515844534202,0.0
520,1,opponent,serve_drive,2.7,0.62,3.692993176397754,-0.45014541570255395,3.4575870890388507,-0.19644906490840008,1.1137896,0.34608938783484544
520,2,player,lob,-2.36,-0.62,-4.529761452299793,-0.08978821758020397,-4.529761452299793,-0.08978821758020397,2.233604551862949,0.0
520,3,opponent,lob,5.178337664657103,-0.14324077774553434,4.1478803871774605,0.12663823603240634,4.1478803871774605,0.12663823603240634,1.0652121304174629,0.0
520,4,player,drop,-5.969051388909655,0.22399242010062004,-3.0713698017280873,0.08655337416046166,-3.7673665305248747,0.11956498137308941,2.2041600000000003,0.6967791706893869
520,5,opponent,smash,1.2023285433339432,0.9739897869654981,3.2049374546396914,0.023700661322496347,1.8731592326673128,0.6556634749121646,0.7425264,1.4741133709047212
520,6,player,drop,-2.854155606306586,0.26555986632067247,-3.266053218236088,-0.19018311354605363,-3.266053218236088,-0.19018311354605363,0.6142974087614483,0.0
520,7,opponent,smash,1.6715591339971279,-0.18426794744258196,3.921007477821261,0.06243682508575938,2.409659767118068,-0.10331790060240312,0.7425264,1.520409988041298
520,8,player,lob,-2.9664052670424788,-0.1367819092024707,-4.126286306664972,-0.14200044836617698,-4.126286306664972,-0.14200044836617698,1.1598927791941627,0.0
520,9,opponent,lob,7.031200049819585,-0.07955343476617549,4.019846697979781,-0.06783983874462307,4.843415601036841,-0.07104336629492852,2.187801,0.8235751335921786
520,10,player,lob,-6.166151346707877,-0.8213544336279028,-4.471833042147958,-0.07159356089239331,-4.471833042147958,-0.07159356089239331,1.8527967733812336,0.0
520,11,opponent,smash,4.285706195951814,0.02953844329665678,3.471612113660892,-0.14025331849899225,3.5588210710644574,-0.12206455771075017,0.7425263999999999,0.08908553906459092
520,12,player,drop,-2.397098493906004,0.03186466206853905,-3.0438817252667145,-0.16592584181843725,-3.0438817252667145,-0.16592584181843725,0.6763502286517442,0.0
520,13,opponent,lob,1.4192850208169578,-0.13294607342186454,4.371835163414545,0.1853719740451035,3.594481107477584,0.10156448108964622,2.187801,0.7818586983318165
520,14,player,lob,-3.1329443374951174,0.3025193156101096,-4.376863562263658,0.15897492079870976,-4.376863562263658,0.15897492079870976,1.2521741216901658,0.0
520,15,opponent,lob,3.465346478364927,0.3514567144720733,4.882412756067106,0.06990381217540595,4.882412756067106,0.06990381217540595,1.4447660267989368,0.0
520,16,player,drop,-1.4247260767662357,0.8229970608301646,-2.992922970721586,-0.05059377384882405,-2.992922970721586,-0.05059377384882405,1.7951051347055802,0.0
521,1,player,serve_lob,-2.7,0.62,-4.141624413823295,-0.0373842299015331,-4.141624413823295,-0.0373842299015331,1.5844352231172438,0.0
521,2,opponent,lob,2.36,-0.62,4.451344933319405,-0.7295845902304288,4.451344933319405,-0.7295845902304288,2.094214032169758,0.0
521,3,player,lob,-4.8498781401456705,-1.9088913281227748,-4.035581390754476,0.7246915192953178,-4.035581390754476,0.7246915192953178,2.756598957099827,0.0
521,4,opponent,lob,6.205120403135831,2.892704526491618,4.9866375036846895,0.6699913034071481,5.153435929277999,0.9742590664778661,2.1878010000000003,0.3469878764805271
521,5,player,lob,-2.0390771004301307,2.27,-4.4965892148599265,0.847144723349436,-4.4965892148599265,0.847144723349436,2.839697683004576,0.0
521,6,opponent,lob,5.684534878204299,2.9670109829783566,4.417490722142233,0.9058192738823804,4.538820228753238,1.1031946943827684,2.187801,0.2316849278485221
521,7,player,smash,-3.168990121430986,2.9793377810151744,-3.075678057100169,0.4846739502589109,-3.122852700871238,1.7458707567862115,1.2343296000000001,1.2620787740111898
522,1,opponent,serve_short,2.7,0.62,3.6806607749193434,-0.09802662235005215,3.6200532932758933,-0.053650639903758846,1.1403084,0.07511654045038862
522,2,player,drive,-2.36,-0.62,-3.7009783573169854,-0.0869833865499807,-3.7009783573169854,-0.0869833865499807,1.443027950181939,0.0
522,3,opponent,lob,4.251367809561689,-0.7279601702001793,4.156465224985593,-0.24526270185447158,4.156465224985593,-0.24526270185447158,0.4919383564091935,0.0
522,4,player,smash,-6.074996161183773,-0.81008776858053,-3.2828407401142474,-0.0997024050069761,-4.878775497372486,-0.5057430874917265,1.2343296,1.6467776975832518
522,5,opponent,lob,3.732236683933289,-0.384284814146223,4.376985272125948,0.7076976477615426,4.376985272125948,0.7076976477615426,1.2681192527087395,0.0
522,6,player,drop,-5.287309438942449,1.9617259371817022,-3.0572141772257244,0.2462005459658306,-3.540264901492028,0.6177926465141006,2.204160000000001,0.6094412944690212
